Complaint_ID,Customer_ID,Gender,Age,Product_Category,Complaint_Date,Complaint_Channel,Complaint_Text,Complaint_Type,Resolution_Status
C001,1001,F,29,Electronics,15/09/2024,Email,The smartphone I received has a scratched screen and the battery drains in just 4 hours.,Quality,Resolved
C002,1002,M,34,Clothing,16/09/2024,App,"I ordered a size L shirt, but what arrived was clearly a size M.",Delivery,Pending
C003,1003,F,41,Home & Kitchen,17/09/2024,Chat,My blender stopped working after just two uses. The motor makes a burning smell.,Quality,Escalated
C004,1004,M,27,Electronics,18/09/2024,Email,I was charged twice for my headphone order. Please refund the duplicate transaction.,Payment,Resolved
C005,1005,F,36,Clothing,19/09/2024,App,The color of the dress is completely different from the picture on the website.,Quality,Pending
C006,1006,M,45,Electronics,20/09/2024,Phone,"The laptop was supposed to include a free bag, but it was missing from the package.",Delivery,Resolved
C007,1007,F,31,Beauty,21/09/2024,App,The skincare product caused an allergic reaction and skin irritation.,Quality,Escalated
C008,1008,M,38,Home & Kitchen,22/09/2024,Email,My microwave oven arrived with a dent on the door and broken glass tray.,Delivery,Pending
C009,1009,F,29,Clothing,23/09/2024,Chat,The stitching on the jeans is coming apart after just one wash.,Quality,Resolved
C010,1010,M,42,Electronics,24/09/2024,App,Return process is too complicated and customer service is not helpful.,Service,Pending
C011,1011,F,33,Books,25/09/2024,Email,The book arrived with torn pages and a damaged cover.,Quality,Resolved
C012,1012,M,28,Electronics,26/09/2024,App,The wireless earphones have very poor connectivity and keep disconnecting.,Quality,Pending
C013,1013,F,35,Clothing,27/09/2024,Email,The sweater I ordered is much thinner than shown in the product images.,Quality,Resolved
C014,1014,M,44,Home & Kitchen,28/09/2024,Chat,The non-stick pan started peeling after just one month of use.,Quality,Escalated
C015,1015,F,39,Electronics,29/09/2024,Phone,My refund has not been processed even after 15 days of returning the product.,Payment,Pending
C016,1016,M,31,Sports,30/09/2024,App,The football I purchased is not the official size and feels very cheap.,Quality,Resolved
C017,1017,F,47,Beauty,01/10/2024,Email,The perfume bottle was leaking when it arrived and half the content was lost.,Delivery,Pending
C018,1018,M,26,Jewelry,02/10/2024,Chat,The silver chain has turned black within two weeks of purchase.,Quality,Escalated
C019,1019,F,32,Clothing,03/10/2024,App,The zipper on the jacket is broken and cannot be closed properly.,Quality,Resolved
C020,1020,M,41,Electronics,04/10/2024,Email,The smartwatch battery lasts only 6 hours instead of the promised 24 hours.,Quality,Pending
C021,1021,F,29,Home & Kitchen,05/10/2024,Phone,The food processor makes extremely loud noise and vibrates dangerously.,Quality,Resolved
C022,1022,M,36,Electronics,06/10/2024,App,The tablet screen has dead pixels right out of the box.,Quality,Pending
C023,1023,F,43,Clothing,07/10/2024,Email,The dress material is see-through and completely different from what was advertised.,Quality,Resolved
C024,1024,M,38,Home & Kitchen,08/10/2024,Chat,The water purifier is leaking from the bottom and flooding my kitchen.,Quality,Escalated
C025,1025,F,34,Books,09/10/2024,App,I received the wrong book title. This is not what I ordered.,Delivery,Pending
C026,1026,M,45,Sports,10/10/2024,Email,The cricket bat cracked during the first practice session.,Quality,Resolved
C027,1027,F,31,Beauty,11/10/2024,Phone,The foundation shade is completely different from what I selected online.,Quality,Pending
C028,1028,M,29,Jewelry,12/10/2024,App,The gold plating on the ring is already wearing off after one week.,Quality,Escalated
C029,1029,F,37,Clothing,13/10/2024,Email,The shoes are extremely uncomfortable and causing blisters on my feet.,Quality,Resolved
C030,1030,M,42,Electronics,14/10/2024,Chat,The camera lens has dust particles inside that are visible in all photos.,Quality,Pending
C031,1031,F,28,Home & Kitchen,15/10/2024,App,The iron stopped working after just 3 uses. No power light or heating.,Quality,Resolved
C032,1032,M,33,Electronics,16/10/2024,Email,The gaming console overheats within 30 minutes of gameplay.,Quality,Pending
C033,1033,F,39,Clothing,17/10/2024,App,The kurta fabric shrunk significantly after the first wash.,Quality,Resolved
C034,1034,M,46,Home & Kitchen,18/10/2024,Chat,The mixer grinder jar cracked while making simple chutney.,Quality,Escalated
C035,1035,F,35,Electronics,19/10/2024,Phone,My order was marked delivered but I never received the package.,Delivery,Pending
C036,1036,M,32,Sports,20/10/2024,App,The badminton racket string broke during the first game.,Quality,Resolved
C037,1037,F,41,Beauty,21/10/2024,Email,"The shampoo bottle arrived without any safety seal, seems tampered with.",Delivery,Pending
C038,1038,M,28,Jewelry,22/10/2024,Chat,The pendant came separated from the chain in the package.,Delivery,Escalated
C039,1039,F,34,Clothing,23/10/2024,App,The winter coat is not warm at all as advertised. Very thin material.,Quality,Resolved
C040,1040,M,43,Electronics,24/10/2024,Email,The power bank takes over 12 hours to charge fully.,Quality,Pending
C041,1041,F,30,Home & Kitchen,25/10/2024,Phone,"The pressure cooker whistle is not working properly, safety concern.",Quality,Resolved
C042,1042,M,37,Electronics,26/10/2024,App,The wireless mouse disconnects randomly every few minutes.,Quality,Pending
C043,1043,F,44,Clothing,27/10/2024,Email,The saree border is misaligned and stitching is coming loose.,Quality,Resolved
C044,1044,M,39,Home & Kitchen,28/10/2024,Chat,The induction cooktop shows error code E3 and shuts down automatically.,Quality,Escalated
C045,1045,F,36,Books,29/10/2024,App,I received a used book with someone else's notes and highlights.,Quality,Pending
C046,1046,M,47,Sports,30/10/2024,Email,The yoga mat has a strong chemical smell that doesn't go away.,Quality,Resolved
C047,1047,F,32,Beauty,31/10/2024,Phone,The lipstick broke at the base when I tried to apply it first time.,Quality,Pending
C048,1048,M,29,Jewelry,01/11/2024,App,The diamond in the necklace looks cloudy and has black spots.,Quality,Escalated
C049,1049,F,38,Clothing,02/11/2024,Email,The denim jacket color bleeds and stained my white shirt.,Quality,Resolved
C050,1050,M,42,Electronics,03/11/2024,Chat,"The router Wi-Fi range is very poor, can't connect from adjacent room.",Quality,Pending
C051,1051,F,31,Home & Kitchen,04/11/2024,App,The air fryer basket handle melted during first use at recommended temperature.,Quality,Resolved
C052,1052,M,35,Electronics,05/11/2024,Email,The smart bulb cannot connect to my home Wi-Fi network.,Quality,Pending
C053,1053,F,40,Clothing,06/11/2024,App,The leggings are completely transparent when I bend over.,Quality,Resolved
C054,1054,M,45,Home & Kitchen,07/11/2024,Chat,The water heater is making loud banging noises when heating water.,Quality,Escalated
C055,1055,F,37,Electronics,08/11/2024,Phone,Delivery person was rude and threw the package at my door.,Service,Pending
